palavra,freq
that,9.55242210811241
battlefield,9.085328277719203
resposta,8.880927427517793
festa,8.85191173203351
with,8.821546630365514
this,8.690392040180301
tudo,8.648570365592843
have,8.417194149806758
desta,8.380242052860064
para,8.210832152214408
like,8.118439743302307
they,8.075366483629116
cupom,8.002762046023241
will,7.95862798261542
calçados,7.939539444024805
básicos,7.870751173042545
players,7.846848100458269
your,7.831427847425772
categoria,7.82929469591765
agosto,7.771708107330021
moda,7.767098520832173
iphone,7.730588207828792
acessórios,7.702572270219155
outubro,7.682485598746549
jeans,7.64183065842751
praia,7.504310904592207
more,7.4926654320602815
best,7.475306276717742
abril,7.4745134035062755
íntima,7.4729168081846495
masculino,7.445763069195123
aluguel,7.441656384513139
time,7.422892540970722
also,7.393036083440493
some,7.393036083440493
infantil,7.3679582351081105
setembro,7.348046722333896
esportivo,7.345143381174871
relógios,7.3431140153064
feminino,7.336472077214183
mais,7.318979506407892
maio,7.3117371458050595
cadernos,7.277062850586488
renner,7.259689921604419
it’s,7.253640736798092
bermudas,7.253584035822506
team,7.233129226591055
about,7.225988882841443
ofertas,7.223661455693048
conforto,7.207503125949133
calças,7.205843881897
tela,7.2043899256199815
back,7.193209651174598
julho,7.149264023330579
crítica,7.148102101180965
first,7.146406627808644
desconto,7.127510529592857
last,7.107535082177882
novembro,7.0749564163077485
junho,7.070541338036559
than,7.065233771684738
jogos,7.046941041984559
jaquetas,7.0249417380795
just,7.020884233340971
game,7.0117941044903125
produto,6.988152472997182
temporada,6.977894469629125
while,6.974014428908911
fevereiro,6.969316613983142
tamanho,6.95902971469595
como,6.946018323950837
bolsas,6.933228615074387
adaptador,6.918282718119846
make,6.918156259669955
ciências,6.916721261893818
chinelos,6.915707859285414
season,6.915253907692986
pijamas,6.900623347810348
sports,6.889470031390917
other,6.877426231727312
juros,6.876370066282668
over,6.852893830246105
shorts,6.831473440274274
março,6.829371754953662
{{item.name}},6.810098539163538
china,6.801062427183114
geek,6.797345403657218
pass,6.792709694623631
linha,6.772715939294428
blusas,6.757086106810943
rock,6.746861503608514
only,6.730995553656896
notícia,6.7299481067085285
xbox,6.709948728134029
league,6.707568076803283
these,6.705995810248026
janeiro,6.695114803766712
óculos,6.6940336811353305
regatas,6.693197631667187
games,6.692634533443278
